variable,period,month,rcp,path
tx,70,1,26,gtx_70_1_26_stack.tif
tx,70,1,85,gtx_70_1_85_stack.tif
tx,70,2,26,gtx_70_2_26_stack.tif
tx,70,2,85,gtx_70_2_85_stack.tif
tx,70,3,26,gtx_70_3_26_stack.tif
tx,70,3,85,gtx_70_3_85_stack.tif
tx,70,4,26,gtx_70_4_26_stack.tif
tx,70,4,85,gtx_70_4_85_stack.tif
tx,70,5,26,gtx_70_5_26_stack.tif
tx,70,5,85,gtx_70_5_85_stack.tif
tx,70,6,26,gtx_70_6_26_stack.tif
tx,70,6,85,gtx_70_6_85_stack.tif
tx,70,7,26,gtx_70_7_26_stack.tif
tx,70,7,85,gtx_70_7_85_stack.tif
tx,70,8,26,gtx_70_8_26_stack.tif
tx,70,8,85,gtx_70_8_85_stack.tif
tx,70,9,26,gtx_70_9_26_stack.tif
tx,70,9,85,gtx_70_9_85_stack.tif
tx,70,10,26,gtx_70_10_26_stack.tif
tx,70,10,85,gtx_70_10_85_stack.tif
tx,70,11,26,gtx_70_11_26_stack.tif
tx,70,11,85,gtx_70_11_85_stack.tif
tx,70,12,26,gtx_70_12_26_stack.tif
tx,70,12,85,gtx_70_12_85_stack.tif
tx,current,1,na,gtx_current_1_na_stack.tif
tx,current,2,na,gtx_current_2_na_stack.tif
tx,current,3,na,gtx_current_3_na_stack.tif
tx,current,4,na,gtx_current_4_na_stack.tif
tx,current,5,na,gtx_current_5_na_stack.tif
tx,current,6,na,gtx_current_6_na_stack.tif
tx,current,7,na,gtx_current_7_na_stack.tif
tx,current,8,na,gtx_current_8_na_stack.tif
tx,current,9,na,gtx_current_9_na_stack.tif
tx,current,10,na,gtx_current_10_na_stack.tif
tx,current,11,na,gtx_current_11_na_stack.tif
tx,current,12,na,gtx_current_12_na_stack.tif
tx,lgm,1,na,gtx_lgm_1_na_stack.tif
tx,lgm,2,na,gtx_lgm_2_na_stack.tif
tx,lgm,3,na,gtx_lgm_3_na_stack.tif
tx,lgm,4,na,gtx_lgm_4_na_stack.tif
tx,lgm,5,na,gtx_lgm_5_na_stack.tif
tx,lgm,6,na,gtx_lgm_6_na_stack.tif
tx,lgm,7,na,gtx_lgm_7_na_stack.tif
tx,lgm,8,na,gtx_lgm_8_na_stack.tif
tx,lgm,9,na,gtx_lgm_9_na_stack.tif
tx,lgm,10,na,gtx_lgm_10_na_stack.tif
tx,lgm,11,na,gtx_lgm_11_na_stack.tif
tx,lgm,12,na,gtx_lgm_12_na_stack.tif
tx,mid,1,na,gtx_mid_1_na_stack.tif
tx,mid,2,na,gtx_mid_2_na_stack.tif
tx,mid,3,na,gtx_mid_3_na_stack.tif
tx,mid,4,na,gtx_mid_4_na_stack.tif
tx,mid,5,na,gtx_mid_5_na_stack.tif
tx,mid,6,na,gtx_mid_6_na_stack.tif
tx,mid,7,na,gtx_mid_7_na_stack.tif
tx,mid,8,na,gtx_mid_8_na_stack.tif
tx,mid,9,na,gtx_mid_9_na_stack.tif
tx,mid,10,na,gtx_mid_10_na_stack.tif
tx,mid,11,na,gtx_mid_11_na_stack.tif
tx,mid,12,na,gtx_mid_12_na_stack.tif
