model,month,path,period,rcp,variable
cn,2,/Users/mperry/data/worldclim/past/cnmidpr2.tif,mid,na,pr
cn,3,/Users/mperry/data/worldclim/past/cnmidpr3.tif,mid,na,pr
cn,4,/Users/mperry/data/worldclim/past/cnmidpr4.tif,mid,na,pr
cn,5,/Users/mperry/data/worldclim/past/cnmidpr5.tif,mid,na,pr
cn,6,/Users/mperry/data/worldclim/past/cnmidpr6.tif,mid,na,pr
cn,7,/Users/mperry/data/worldclim/past/cnmidpr7.tif,mid,na,pr
cn,8,/Users/mperry/data/worldclim/past/cnmidpr8.tif,mid,na,pr
cn,9,/Users/mperry/data/worldclim/past/cnmidpr9.tif,mid,na,pr
cn,1,/Users/mperry/data/worldclim/past/cnmidtn1.tif,mid,na,tn
cn,10,/Users/mperry/data/worldclim/past/cnmidtn10.tif,mid,na,tn
cn,11,/Users/mperry/data/worldclim/past/cnmidtn11.tif,mid,na,tn
cn,12,/Users/mperry/data/worldclim/past/cnmidtn12.tif,mid,na,tn
cn,2,/Users/mperry/data/worldclim/past/cnmidtn2.tif,mid,na,tn
cn,3,/Users/mperry/data/worldclim/past/cnmidtn3.tif,mid,na,tn
cn,4,/Users/mperry/data/worldclim/past/cnmidtn4.tif,mid,na,tn
cn,5,/Users/mperry/data/worldclim/past/cnmidtn5.tif,mid,na,tn
cn,6,/Users/mperry/data/worldclim/past/cnmidtn6.tif,mid,na,tn
cn,7,/Users/mperry/data/worldclim/past/cnmidtn7.tif,mid,na,tn
cn,8,/Users/mperry/data/worldclim/past/cnmidtn8.tif,mid,na,tn
cn,9,/Users/mperry/data/worldclim/past/cnmidtn9.tif,mid,na,tn
cn,1,/Users/mperry/data/worldclim/past/cnmidtx1.tif,mid,na,tx
cn,10,/Users/mperry/data/worldclim/past/cnmidtx10.tif,mid,na,tx
cn,11,/Users/mperry/data/worldclim/past/cnmidtx11.tif,mid,na,tx
cn,12,/Users/mperry/data/worldclim/past/cnmidtx12.tif,mid,na,tx
cn,2,/Users/mperry/data/worldclim/past/cnmidtx2.tif,mid,na,tx
cn,3,/Users/mperry/data/worldclim/past/cnmidtx3.tif,mid,na,tx
cn,4,/Users/mperry/data/worldclim/past/cnmidtx4.tif,mid,na,tx
cn,5,/Users/mperry/data/worldclim/past/cnmidtx5.tif,mid,na,tx
cn,6,/Users/mperry/data/worldclim/past/cnmidtx6.tif,mid,na,tx
cn,7,/Users/mperry/data/worldclim/past/cnmidtx7.tif,mid,na,tx
cn,8,/Users/mperry/data/worldclim/past/cnmidtx8.tif,mid,na,tx
cn,9,/Users/mperry/data/worldclim/past/cnmidtx9.tif,mid,na,tx
he,0,/Users/mperry/data/worldclim/past/hemidbi1.tif,mid,na,bi1
he,0,/Users/mperry/data/worldclim/past/hemidbi10.tif,mid,na,bi10
he,0,/Users/mperry/data/worldclim/past/hemidbi11.tif,mid,na,bi11
he,0,/Users/mperry/data/worldclim/past/hemidbi12.tif,mid,na,bi12
he,0,/Users/mperry/data/worldclim/past/hemidbi13.tif,mid,na,bi13
he,0,/Users/mperry/data/worldclim/past/hemidbi14.tif,mid,na,bi14
he,0,/Users/mperry/data/worldclim/past/hemidbi15.tif,mid,na,bi15
he,0,/Users/mperry/data/worldclim/past/hemidbi16.tif,mid,na,bi16
he,0,/Users/mperry/data/worldclim/past/hemidbi17.tif,mid,na,bi17
he,0,/Users/mperry/data/worldclim/past/hemidbi18.tif,mid,na,bi18
he,0,/Users/mperry/data/worldclim/past/hemidbi19.tif,mid,na,bi19
he,0,/Users/mperry/data/worldclim/past/hemidbi2.tif,mid,na,bi2
he,0,/Users/mperry/data/worldclim/past/hemidbi3.tif,mid,na,bi3
he,0,/Users/mperry/data/worldclim/past/hemidbi4.tif,mid,na,bi4
he,0,/Users/mperry/data/worldclim/past/hemidbi5.tif,mid,na,bi5
he,0,/Users/mperry/data/worldclim/past/hemidbi6.tif,mid,na,bi6
he,0,/Users/mperry/data/worldclim/past/hemidbi7.tif,mid,na,bi7
he,0,/Users/mperry/data/worldclim/past/hemidbi8.tif,mid,na,bi8
he,0,/Users/mperry/data/worldclim/past/hemidbi9.tif,mid,na,bi9
he,1,/Users/mperry/data/worldclim/past/hemidpr1.tif,mid,na,pr
he,10,/Users/mperry/data/worldclim/past/hemidpr10.tif,mid,na,pr
he,11,/Users/mperry/data/worldclim/past/hemidpr11.tif,mid,na,pr
he,12,/Users/mperry/data/worldclim/past/hemidpr12.tif,mid,na,pr
he,2,/Users/mperry/data/worldclim/past/hemidpr2.tif,mid,na,pr
he,3,/Users/mperry/data/worldclim/past/hemidpr3.tif,mid,na,pr
he,4,/Users/mperry/data/worldclim/past/hemidpr4.tif,mid,na,pr
he,5,/Users/mperry/data/worldclim/past/hemidpr5.tif,mid,na,pr
he,6,/Users/mperry/data/worldclim/past/hemidpr6.tif,mid,na,pr
he,7,/Users/mperry/data/worldclim/past/hemidpr7.tif,mid,na,pr
he,8,/Users/mperry/data/worldclim/past/hemidpr8.tif,mid,na,pr
he,9,/Users/mperry/data/worldclim/past/hemidpr9.tif,mid,na,pr
he,1,/Users/mperry/data/worldclim/past/hemidtn1.tif,mid,na,tn
